Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,time_ref.secs,time_ref.nsecs,source
1737285483.8502226,13020,1737285483,838958933,,1737285484,459308000,fcu
1737285483.9445646,13021,1737285483,939047044,,1737285484,559364000,fcu
1737285484.0412931,13022,1737285484,36957489,,1737285484,657070000,fcu
1737285484.1558592,13023,1737285484,138915341,,1737285484,759343000,fcu
1737285484.2413824,13024,1737285484,238922637,,1737285484,859319000,fcu
1737285484.343257,13025,1737285484,338997211,,1737285484,959326000,fcu
1737285484.4548292,13026,1737285484,438958914,,1737285485,59239000,fcu
1737285484.5443237,13027,1737285484,539152951,,1737285485,159322000,fcu
1737285484.6474483,13028,1737285484,640290933,,1737285485,260332000,fcu
1737285484.7471871,13029,1737285484,739980599,,1737285485,360313000,fcu
1737285484.8493233,13030,1737285484,838206322,,1737285485,458086000,fcu
1737285484.9530008,13031,1737285484,938160044,,1737285485,558015000,fcu
1737285485.0500402,13032,1737285485,37838544,,1737285485,658073000,fcu
1737285485.141686,13033,1737285485,140277877,,1737285485,760314000,fcu
1737285485.2618914,13034,1737285485,239727321,,1737285485,859747000,fcu
1737285485.3481739,13035,1737285485,339660192,,1737285485,959348000,fcu
1737285485.4580028,13036,1737285485,439394618,,1737285486,59353000,fcu
1737285485.551071,13037,1737285485,540494784,,1737285486,160277000,fcu
1737285485.6560745,13038,1737285485,640520192,,1737285486,260321000,fcu
1737285485.7442644,13039,1737285485,740107136,,1737285486,357998000,fcu
1737285485.8419886,13040,1737285485,839340506,,1737285486,459306000,fcu
1737285485.945435,13041,1737285485,939663025,,1737285486,559345000,fcu
1737285486.047165,13042,1737285486,44503747,,1737285486,660287000,fcu
1737285486.1441584,13043,1737285486,138156988,,1737285486,759281000,fcu
1737285486.2437344,13044,1737285486,238221747,,1737285486,859285000,fcu
1737285486.344218,13045,1737285486,338350599,,1737285486,959354000,fcu
1737285486.442856,13046,1737285486,438467913,,1737285487,59363000,fcu
1737285486.5416818,13047,1737285486,537627598,,1737285487,157050000,fcu
1737285486.6433632,13048,1737285486,638959487,,1737285487,259378000,fcu
1737285486.7444942,13049,1737285486,738040154,,1737285487,357064000,fcu
1737285486.846545,13050,1737285486,839829469,,1737285487,460109000,fcu
1737285486.9433296,13051,1737285486,938385709,,1737285487,559309000,fcu
1737285487.0448627,13052,1737285487,38515820,,1737285487,659317000,fcu
1737285487.1438396,13053,1737285487,138440672,,1737285487,757070000,fcu
1737285487.2424119,13054,1737285487,238388431,,1737285487,859220000,fcu
1737285487.3436477,13055,1737285487,338555413,,1737285487,959301000,fcu
1737285487.4420128,13056,1737285487,438791505,,1737285488,59348000,fcu
1737285487.5439434,13057,1737285487,538926598,,1737285488,159399000,fcu
1737285487.6442206,13058,1737285487,638627246,,1737285488,259353000,fcu
1737285487.7424555,13059,1737285487,738483857,,1737285488,359346000,fcu
1737285487.8434978,13060,1737285487,838664987,,1737285488,457077000,fcu
1737285487.9441016,13061,1737285487,938937042,,1737285488,559337000,fcu
1737285488.0419817,13062,1737285488,39100468,,1737285488,659302000,fcu
1737285488.1447933,13063,1737285488,139561412,,1737285488,759302000,fcu
1737285488.2454615,13064,1737285488,238986949,,1737285488,859317000,fcu
1737285488.3426294,13065,1737285488,339374023,,1737285488,959347000,fcu
1737285488.4424677,13066,1737285488,439181653,,1737285489,59385000,fcu
1737285488.5436935,13067,1737285488,538818986,,1737285489,159346000,fcu
1737285488.6436799,13068,1737285488,638937023,,1737285489,259358000,fcu
1737285488.744608,13069,1737285488,739453634,,1737285489,359296000,fcu
1737285488.8441246,13070,1737285488,838859208,,1737285489,459284000,fcu
1737285488.944027,13071,1737285488,938786041,,1737285489,559318000,fcu
1737285489.043705,13072,1737285489,38753115,,1737285489,659287000,fcu
1737285489.1420946,13073,1737285489,138956597,,1737285489,759382000,fcu
1737285489.2438405,13074,1737285489,238809245,,1737285489,859328000,fcu
1737285489.3433924,13075,1737285489,339453356,,1737285489,959385000,fcu
1737285489.443464,13076,1737285489,439260930,,1737285490,59356000,fcu
