Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,voltage,temperature,current,charge,capacity,design_capacity,percentage,power_supply_status,power_supply_health,power_supply_technology,present,location,serial_number
1737285472.8052933,12898,1737285471,339420922,,0.0,0.0,-23.350000381469727,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.8053486,12899,1737285471,438943830,,0.0,0.0,-23.510000228881836,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.8054,12900,1737285471,538950941,,0.0,0.0,-23.670000076293945,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.805451,12901,1737285471,640994459,,0.0,0.0,-23.739999771118164,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.8055034,12902,1737285471,741130607,,0.0,0.0,-23.65999984741211,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.8055284,12903,1737285471,838642737,,0.0,0.0,-23.799999237060547,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.8055983,12904,1737285471,938507922,,0.0,0.0,-23.790000915527344,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.8056538,12905,1737285472,38351570,,0.0,0.0,-23.780000686645508,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.8056982,12906,1737285472,138869644,,0.0,0.0,-23.850000381469727,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.8057344,12907,1737285472,242351070,,0.0,0.0,-23.799999237060547,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.8058288,12908,1737285472,339189625,,0.0,0.0,-23.790000915527344,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.805864,12909,1737285472,439005070,,0.0,0.0,-23.780000686645508,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.8059494,12910,1737285472,541198533,,0.0,0.0,-23.770000457763672,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.8060143,12911,1737285472,639220403,,0.0,0.0,-23.700000762939453,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.8074381,12912,1737285472,738888810,,0.0,0.0,-23.639999389648438,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.8413122,12913,1737285472,839032699,,0.0,0.0,-23.639999389648438,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.9410248,12914,1737285472,938471606,,0.0,0.0,-23.65999984741211,nan,nan,nan,0.0,2,0,0,True,id0,
1737285473.0419436,12915,1737285473,38844903,,0.0,0.0,-23.6200008392334,nan,nan,nan,0.0,2,0,0,True,id0,
1737285473.1410928,12916,1737285473,138753792,,0.0,0.0,-23.6200008392334,nan,nan,nan,0.0,2,0,0,True,id0,
1737285473.2431414,12917,1737285473,241574273,,0.0,0.0,-23.68000030517578,nan,nan,nan,0.0,2,0,0,True,id0,
1737285473.339944,12918,1737285473,338820921,,0.0,0.0,-23.639999389648438,nan,nan,nan,0.0,2,0,0,True,id0,
1737285473.43984,12919,1737285473,438792828,,0.0,0.0,-23.559999465942383,nan,nan,nan,0.0,2,0,0,True,id0,
1737285473.5432386,12920,1737285473,541563551,,0.0,0.0,-23.530000686645508,nan,nan,nan,0.0,2,0,0,True,id0,
1737285473.6450357,12921,1737285473,639308402,,0.0,0.0,-23.56999969482422,nan,nan,nan,0.0,2,0,0,True,id0,
1737285473.7448418,12922,1737285473,741495773,,0.0,0.0,-23.559999465942383,nan,nan,nan,0.0,2,0,0,True,id0,
1737285473.844036,12923,1737285473,838975476,,0.0,0.0,-23.600000381469727,nan,nan,nan,0.0,2,0,0,True,id0,
1737285473.9442852,12924,1737285473,939407698,,0.0,0.0,-23.6200008392334,nan,nan,nan,0.0,2,0,0,True,id0,
1737285474.0453942,12925,1737285474,39295402,,0.0,0.0,-23.6200008392334,nan,nan,nan,0.0,2,0,0,True,id0,
1737285474.1445532,12926,1737285474,141414921,,0.0,0.0,-23.6200008392334,nan,nan,nan,0.0,2,0,0,True,id0,
1737285474.2449222,12927,1737285474,239177717,,0.0,0.0,-23.600000381469727,nan,nan,nan,0.0,2,0,0,True,0.0,id0,
1737285474.3518207,12928,1737285474,339213050,,0.0,0.0,-23.59000015258789,nan,nan,nan,0.0,2,0,0,True,id0,
1737285474.4445922,12929,1737285474,439219920,,0.0,0.0,-23.579999923706055,nan,nan,nan,0.0,2,0,0,True,id0,
1737285474.546407,12930,1737285474,541485106,,0.0,0.0,-23.59000015258789,nan,nan,nan,0.0,2,0,0,True,id0,
1737285474.6523285,12931,1737285474,639081087,,0.0,0.0,-23.520000457763672,nan,nan,nan,0.0,2,0,0,True,id0,
1737285474.7427855,12932,1737285474,739574457,,0.0,0.0,-23.520000457763672,nan,nan,nan,0.0,2,0,0,True,id0,
1737285474.8455849,12933,1737285474,840559976,,0.0,0.0,-23.479999542236328,nan,nan,nan,0.0,2,0,0,True,id0,
1737285474.9457061,12934,1737285474,939246439,,0.0,0.0,-23.489999771118164,nan,nan,nan,0.0,2,0,0,True,id0,
1737285475.0448847,12935,1737285475,39165346,,0.0,0.0,-23.479999542236328,nan,nan,nan,0.0,2,0,0,True,id0,
1737285475.147933,12936,1737285475,141515698,,0.0,0.0,-23.469999313354492,nan,nan,nan,0.0,2,0,0,True,id0,
1737285475.2447538,12937,1737285475,238963272,,0.0,0.0,-23.5,nan,nan,nan,0.0,2,0,0,True,id0,
