Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,rssi,channels_0,channels_1,channels_2,channels_3,channels_4,channels_5,channels_6,channels_7
1729403420.7324557,2395,1729403420,730220800,,255,1502,1500,1003,1503,1002,1000,1000,1000
1729403420.8350875,2396,1729403420,830217216,,255,1502,1500,1003,1503,1003,1000,1000,1000
1729403420.9331117,2397,1729403420,930215424,,255,1502,1500,1003,1503,1003,1000,1000,1000
1729403421.0323007,2398,1729403421,29207232,,255,1502,1500,1003,1503,1003,1000,1000,999
1729403421.1309474,2399,1729403421,128203648,,255,1502,1500,1003,1503,1003,1000,1000,1000
1729403421.2353075,2400,1729403421,230209280,,255,1502,1500,1003,1503,1002,1000,1000,1000
1729403421.3329926,2401,1729403421,330207488,,255,1502,1500,1003,1503,1003,1000,1000,999
1729403421.434173,2402,1729403421,432205696,,255,1502,1500,1003,1503,1003,1000,1000,1000
1729403421.5310395,2403,1729403421,529202112,,255,1502,1500,1003,1503,1002,1000,1000,1000
1729403421.6318502,2404,1729403421,629198784,,255,1502,1500,1003,1503,1003,999,1000,1000
1729403421.7325172,2405,1729403421,729195456,,255,1502,1500,1003,1503,1003,1000,1000,1000
1729403421.830291,2406,1729403421,828190592,,255,1502,1500,1003,1503,1002,1000,1000,1000
1729403421.9324505,2407,1729403421,929184448,,255,1502,1500,1003,1503,1003,1000,999,1000
1729403422.0330877,2408,1729403422,29179840,,255,1502,1500,1002,1503,1003,1000,1000,1000
1729403422.132571,2409,1729403422,130172160,,255,1502,1500,1003,1503,1003,1000,1000,1000
1729403422.2323909,2410,1729403422,229169088,,255,1502,1500,1003,1503,1003,999,1000,1000
1729403422.3307202,2411,1729403422,328166016,,255,1502,1500,1003,1503,1003,1000,1000,1000
1729403422.432161,2412,1729403422,429161408,,255,1502,1500,1003,1503,1003,1000,1000,1000
1729403422.5326428,2413,1729403422,530155776,,255,1502,1500,1003,1503,1002,1000,1000,1000
1729403422.633325,2414,1729403422,630150144,,255,1502,1500,1003,1503,1003,1000,1000,1000
1729403422.7331057,2415,1729403422,730142464,,255,1502,1500,1003,1502,1002,1000,999,1000
1729403422.833315,2416,1729403422,830135040,,255,1502,1500,1002,1503,1003,1000,1000,1000
1729403422.9333043,2417,1729403422,930127616,,255,1502,1500,1003,1503,1003,1000,1000,1000
1729403423.033179,2418,1729403423,29119680,,255,1502,1500,1003,1503,1002,1000,1000,1000
1729403423.1316915,2419,1729403423,129115328,,255,1502,1500,1003,1503,1003,1000,1000,1000
1729403423.2350888,2420,1729403423,229112000,,255,1502,1500,1003,1503,1003,1000,1000,999
1729403423.3329728,2421,1729403423,329108672,,255,1502,1500,1002,1503,1002,1000,1000,1000
1729403423.4332826,2422,1729403423,430101504,,255,1502,1500,1003,1503,1003,1000,1000,1000
1729403423.5311732,2423,1729403423,529097408,,255,1502,1500,1003,1503,1003,1000,1000,1000
1729403423.6346552,2424,1729403423,632093056,,255,1502,1500,1003,1503,1003,1000,1000,1000
1729403423.73224,2425,1729403423,729088960,,255,1502,1500,1003,1503,1003,999,1000,1000
1729403423.8320348,2426,1729403423,829084864,,255,1502,1500,1003,1502,1003,1000,1000,1000
1729403423.933195,2427,1729403423,929079744,,255,1502,1500,1003,1503,1003,1000,1000,999
1729403424.0322638,2428,1729403424,30072832,,255,1502,1500,1002,1503,1003,1000,1000,1000
1729403424.1304116,2429,1729403424,128070784,,255,1502,1500,1003,1503,1003,1000,1000,999
1729403424.2326982,2430,1729403424,230068480,,255,1502,1500,1003,1503,1002,1000,1000,1000
1729403424.3324249,2431,1729403424,329061824,,255,1502,1500,1003,1503,1003,1000,1000,1000
