Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,rssi,channels_0,channels_1,channels_2,channels_3,channels_4,channels_5,channels_6,channels_7
1737285437.931897,12647,1737285437,929373696,,255,1500,1502,1006,1503,999,1500,1000,999
1737285438.030435,12648,1737285438,28367296,,255,1500,1502,1006,1502,1000,1500,1000,999
1737285438.1346786,12649,1737285438,127361152,,255,1500,1502,1007,1502,999,1500,999,1000
1737285438.2327855,12650,1737285438,231354752,,255,1500,1502,1006,1502,1000,1500,1000,999
1737285438.331304,12651,1737285438,329349888,,255,1500,1502,1007,1503,1000,1500,999,1000
1737285438.4328928,12652,1737285438,430341952,,255,1500,1502,1006,1503,999,1500,1000,999
1737285438.5291667,12653,1737285438,527332736,,255,1500,1502,1007,1502,1000,1500,1000,999
1737285438.6304624,12654,1737285438,628326080,,255,1500,1502,1006,1502,999,1500,1000,999
1737285438.7285552,12655,1737285438,727321984,,255,1500,1502,1006,1503,1000,1500,1000,999
1737285438.8303785,12656,1737285438,828317120,,255,1500,1502,1007,1502,999,1500,999,1000
1737285438.9328575,12657,1737285438,930310720,,255,1500,1502,1006,1502,999,1500,1000,999
1737285439.0312204,12658,1737285439,29306624,,255,1500,1502,1007,1503,999,1500,999,1000
1737285439.1364193,12659,1737285439,130306624,,255,1500,1502,1006,1503,999,1500,1000,999
1737285439.228554,12660,1737285439,226294848,,255,1500,1502,1007,1502,1000,1500,999,1000
1737285439.3295753,12661,1737285439,328280512,,255,1500,1502,1007,1502,999,1500,999,1000
1737285439.4316866,12662,1737285439,429269504,,255,1500,1502,1006,1502,1000,1500,1000,999
1737285439.5305283,12663,1737285439,528270272,,255,1500,1502,1007,1503,999,1500,999,1000
1737285439.629831,12664,1737285439,627264896,,255,1500,1502,1006,1503,1000,1500,1000,999
1737285439.7339365,12665,1737285439,731259008,,255,1500,1502,1007,1503,1000,1500,999,1000
1737285439.8301725,12666,1737285439,827252096,,255,1500,1502,1006,1502,999,1500,1000,999
1737285439.9339552,12667,1737285439,931246720,,255,1500,1502,1007,1502,1000,1500,999,1000
1737285440.0292468,12668,1737285440,27242624,,255,1500,1502,1007,1502,999,1500,999,1000
1737285440.1341588,12669,1737285440,129236736,,255,1500,1502,1006,1502,1000,1500,1000,999
1737285440.2296607,12670,1737285440,228232128,,255,1500,1502,1007,1502,1000,1500,999,1000
1737285440.3324687,12671,1737285440,329224192,,255,1500,1502,1006,1502,999,1500,1000,999
1737285440.4320488,12672,1737285440,430223168,,255,1500,1502,1007,1502,1000,1500,1000,999
1737285440.529573,12673,1737285440,527219840,,255,1500,1502,1006,1502,999,1500,1000,1000
1737285440.63316,12674,1737285440,631213184,,255,1500,1502,1006,1503,1000,1500,1000,999
1737285440.729532,12675,1737285440,728208064,,255,1500,1502,1007,1503,1000,1500,999,1000
1737285440.8288221,12676,1737285440,827201920,,255,1500,1502,1006,1502,999,1500,1000,999
1737285440.9295027,12677,1737285440,927199872,,255,1500,1502,1007,1503,1000,1500,1000,999
1737285441.0328915,12678,1737285441,30195776,,255,1500,1502,1006,1502,999,1500,1000,999
1737285441.1348631,12679,1737285441,129189376,,255,1500,1502,1005,1502,1000,1500,1000,999
1737285441.230218,12680,1737285441,228186816,,255,1500,1502,1007,1503,999,1500,999,1000
1737285441.332437,12681,1737285441,330181440,,255,1500,1502,1006,1503,999,1500,1000,999
1737285441.4311688,12682,1737285441,429176320,,255,1500,1502,1007,1502,1000,1500,999,1000
1737285441.5307488,12683,1737285441,529171712,,255,1500,1502,1007,1503,999,1500,999,1000
1737285441.6297011,12684,1737285441,628169408,,255,1500,1502,1006,1502,1000,1500,1000,999
1737285441.731364,12685,1737285441,729165568,,255,1500,1502,1007,1502,1000,1500,999,1000
1737285441.8296201,12686,1737285441,828162752,,255,1500,1502,1006,1503,999,1500,1000,999
1737285441.9325724,12687,1737285441,930158912,,255,1500,1502,1007,1502,1000,1500,999,1000
1737285442.0302112,12688,1737285442,28153280,,255,1500,1502,1007,1502,999,1500,999,1000
1737285442.1353972,12689,1737285442,129144576,,255,1500,1502,1006,1502,1000,1500,1000,999
1737285442.2304385,12690,1737285442,228140480,,255,1500,1502,1007,1502,1000,1500,999,1000
1737285442.3322258,12691,1737285442,330134336,,255,1500,1502,1006,1502,999,1500,1000,999
1737285442.4313333,12692,1737285442,429130496,,255,1500,1502,1006,1502,1000,1500,1000,999
1737285442.5324626,12693,1737285442,529130240,,255,1500,1502,1007,1502,999,1500,999,1000
1737285442.6330376,12694,1737285442,631126912,,255,1500,1502,1006,1502,999,1500,1000,999
1737285442.7304,12695,1737285442,728122816,,255,1500,1502,1007,1502,1000,1500,1000,999
1737285442.8311465,12696,1737285442,829116672,,255,1500,1502,1007,1503,999,1500,999,1000
1737285442.932258,12697,1737285442,930113088,,255,1500,1502,1006,1502,1000,1500,1000,999
1737285443.0312648,12698,1737285443,29110016,,255,1500,1502,1007,1502,1000,1500,999,1000
1737285443.134444,12699,1737285443,132106944,,255,1500,1502,1007,1503,999,1500,999,1000
1737285443.2332685,12700,1737285443,231104128,,255,1500,1502,1006,1502,999,1500,1000,999
1737285443.3316414,12701,1737285443,330097216,,255,1500,1502,1007,1502,1000,1500,999,1000
1737285443.4306686,12702,1737285443,429091072,,255,1500,1502,1006,1502,999,1500,1000,999
1737285443.5317652,12703,1737285443,531082624,,255,1500,1502,1006,1502,1000,1500,1000,999
1737285443.6303868,12704,1737285443,628075200,,255,1500,1502,1007,1502,999,1500,999,1000
1737285443.7308605,12705,1737285443,729071616,,255,1500,1502,1006,1502,999,1500,1000,999
1737285443.8377635,12706,1737285443,836064960,,255,1500,1502,1006,1503,1000,1500,1000,999
1737285443.941521,12707,1737285443,940056256,,255,1500,1502,1007,1502,1000,1500,999,1000
1737285444.035488,12708,1737285444,33049856,,255,1500,1502,1006,1502,999,1500,1000,999
1737285444.1279285,12709,1737285444,126044992,,255,1500,1502,1006,1503,1000,1500,1000,999
1737285444.2290285,12710,1737285444,228039360,,255,1500,1502,1007,1502,999,1500,999,1000
1737285444.333064,12711,1737285444,331031424,,255,1500,1502,1006,1502,999,1500,1000,999
1737285444.4320498,12712,1737285444,430025024,,255,1500,1502,1007,1502,1000,1500,999,1000
1737285444.531698,12713,1737285444,527018112,,255,1500,1502,1006,1502,999,1500,999,1000
1737285444.6301577,12714,1737285444,628012736,,255,1500,1502,1006,1503,1000,1500,1000,999
1737285444.7282486,12715,1737285444,727009408,,255,1500,1502,1007,1502,1000,1500,999,1000
1737285444.8358958,12716,1737285444,831002752,,255,1500,1502,1006,1502,999,1500,1000,999
1737285444.92896,12717,1737285444,927997120,,255,1500,1502,1006,1502,1000,1500,1000,999
1737285445.031652,12718,1737285445,30989440,,255,1500,1502,1007,1502,1000,1500,999,1000
1737285445.1337001,12719,1737285445,127986112,,255,1500,1502,1006,1502,999,1500,1000,999
1737285445.2302837,12720,1737285445,228982528,,255,1500,1502,1005,1502,1000,1500,1000,999
1737285445.3295856,12721,1737285445,327977152,,255,1500,1502,1007,1503,1000,1500,999,1000
1737285445.4314268,12722,1737285445,426965376,,255,1500,1502,1006,1502,999,1500,1000,999
1737285445.5303607,12723,1737285445,528957952,,255,1500,1502,1006,1502,1000,1500,1000,999
1737285445.6296232,12724,1737285445,627954112,,255,1500,1502,1007,1502,999,1500,999,1000
1737285445.7321122,12725,1737285445,730953344,,255,1500,1502,1006,1503,999,1500,1000,999
1737285445.8315372,12726,1737285445,829948992,,255,1500,1502,1006,1503,1000,1500,1000,999
1737285445.9317744,12727,1737285445,928948992,,255,1500,1502,1007,1502,999,1500,999,1000
1737285446.032655,12728,1737285446,30938752,,255,1500,1502,1007,1502,999,1500,999,1000
1737285446.1292026,12729,1737285446,126927744,,255,1500,1502,1006,1503,1000,1500,1000,999
1737285446.2348228,12730,1737285446,230924160,,255,1500,1502,1007,1502,1000,1500,999,1000
1737285446.3312855,12731,1737285446,329917760,,255,1500,1502,1007,1502,999,1500,999,1000
1737285446.435816,12732,1737285446,430911616,,255,1500,1502,1006,1502,1000,1500,1000,999
1737285446.5292344,12733,1737285446,526904960,,255,1500,1502,1007,1502,1000,1500,999,1000
1737285446.630217,12734,1737285446,627901888,,255,1500,1502,1006,1502,999,1500,1000,999
1737285446.7309353,12735,1737285446,728896256,,255,1500,1502,1006,1502,999,1500,1000,999
1737285446.8293881,12736,1737285446,827892672,,255,1500,1502,1007,1502,1000,1500,999,1000
1737285446.9312797,12737,1737285446,929886784,,255,1500,1502,1006,1502,999,1500,1000,1000
1737285447.0320165,12738,1737285447,30881408,,255,1500,1502,1006,1502,999,1500,1000,999
1737285447.131194,12739,1737285447,129881408,,255,1500,1502,1007,1502,1000,1500,999,1000
1737285447.2283554,12740,1737285447,226876544,,255,1500,1502,1008,1502,999,1500,999,1000
1737285447.332177,12741,1737285447,330872192,,255,1500,1502,1147,1503,999,1500,1000,999
1737285447.4296196,12742,1737285447,427866560,,255,1500,1502,1307,1503,999,1500,999,1000
1737285447.5311587,12743,1737285447,528861952,,255,1500,1502,1355,1503,1000,1500,1000,999
1737285447.6299815,12744,1737285447,627858880,,255,1500,1502,1454,1503,1000,1500,1000,999
1737285447.7314842,12745,1737285447,729852224,,255,1500,1502,1502,1502,1000,1500,999,1000
1737285447.8460572,12746,1737285447,826847872,,255,1500,1502,1576,1502,1000,1500,999,1000
1737285447.9335938,12747,1737285447,931839424,,255,1500,1502,1605,1503,999,1500,1000,999
1737285448.0310862,12748,1737285448,29832512,,255,1500,1502,1612,1503,1000,1500,1000,999
1737285448.1347122,12749,1737285448,130827648,,255,1500,1502,1613,1503,1000,1500,999,1000
1737285448.2295096,12750,1737285448,227823040,,255,1500,1502,1612,1503,999,1500,999,1000
1737285448.3321967,12751,1737285448,328816384,,255,1500,1502,1612,1503,999,1500,1000,999
1737285448.4311004,12752,1737285448,428812800,,255,1500,1502,1612,1503,1000,1500,1000,999
1737285448.5297031,12753,1737285448,527809216,,255,1500,1502,1612,1503,999,1500,2000,999
1737285448.6303244,12754,1737285448,628803584,,255,1500,1502,1612,1503,999,1500,2000,1000
1737285448.733411,12755,1737285448,730801792,,255,1500,1501,1612,1503,999,1500,2000,1000
1737285448.828881,12756,1737285448,826798464,,255,1500,1499,1612,1503,1000,1500,2000,999
1737285448.930536,12757,1737285448,928796672,,255,1500,1426,1612,1503,999,1500,2000,999
1737285449.031282,12758,1737285449,29790016,,255,1500,1427,1612,1503,1000,1500,2000,1000
1737285449.1289272,12759,1737285449,126785664,,255,1500,1426,1612,1503,1000,1500,2000,999
1737285449.2334626,12760,1737285449,230782848,,255,1500,1430,1612,1503,999,1500,2000,999
1737285449.3332078,12761,1737285449,330776960,,255,1500,1430,1612,1503,999,1500,2000,999
1737285449.4286556,12762,1737285449,426771840,,255,1500,1481,1612,1503,1000,1500,2000,1000
1737285449.5286868,12763,1737285449,526768512,,255,1500,1501,1612,1503,1000,1500,2000,1000
1737285449.629593,12764,1737285449,628760832,,255,1500,1500,1612,1503,999,1500,2000,999
1737285449.7286613,12765,1737285449,727754432,,255,1500,1442,1612,1503,999,1500,2000,1000
1737285449.8417664,12766,1737285449,836749056,,255,1500,1381,1612,1503,1000,1500,2000,1000
1737285449.937619,12767,1737285449,935743168,,255,1500,1384,1612,1503,1000,1500,2000,999
1737285450.0352838,12768,1737285450,32736256,,255,1500,1383,1612,1503,999,1500,2000,999
1737285450.1347432,12769,1737285450,129728832,,255,1500,1383,1612,1503,999,1500,2000,1000
1737285450.2301397,12770,1737285450,228720640,,255,1500,1379,1612,1503,1000,1500,2000,1000
1737285450.3290086,12771,1737285450,327714240,,255,1500,1380,1612,1503,1000,1500,2000,999
1737285450.427943,12772,1737285450,426705280,,255,1500,1381,1612,1503,999,1500,2000,999
1737285450.5320604,12773,1737285450,530699136,,255,1500,1385,1612,1503,999,1500,2000,1000
1737285450.631944,12774,1737285450,629695040,,255,1500,1384,1612,1502,1000,1500,2000,1000
1737285450.7290664,12775,1737285450,727692224,,255,1500,1386,1612,1503,1000,1500,2000,999
1737285450.8279731,12776,1737285450,826686592,,255,1500,1390,1612,1503,999,1500,2000,999
1737285450.9347813,12777,1737285450,932681984,,255,1500,1501,1612,1503,999,1500,2000,999
1737285451.03078,12778,1737285451,29680192,,255,1500,1501,1612,1503,999,1500,2000,999
1737285451.1335175,12779,1737285451,128673280,,255,1500,1501,1612,1503,1000,1500,2000,1000
1737285451.232201,12780,1737285451,230669440,,255,1500,1500,1612,1503,1000,1500,2000,1000
1737285451.3292,12781,1737285451,327661504,,255,1500,1490,1612,1503,999,1500,2000,999
1737285451.431296,12782,1737285451,428655872,,255,1500,1430,1612,1503,999,1500,2000,1000
1737285451.5318987,12783,1737285451,530652032,,255,1500,1414,1612,1503,999,1500,2000,1000
1737285451.6289952,12784,1737285451,627646912,,255,1500,1414,1612,1503,1000,1500,2000,1000
1737285451.7306943,12785,1737285451,729662528,,255,1500,1414,1612,1503,1000,1500,2000,1000
1737285451.832669,12786,1737285451,830658176,,255,1500,1414,1612,1503,999,1500,2000,999
1737285451.9370792,12787,1737285451,930649984,,255,1500,1413,1612,1503,999,1500,2000,999
1737285452.0307143,12788,1737285452,29646144,,255,1500,1413,1612,1503,1000,1500,2000,1000
1737285452.12973,12789,1737285452,127646144,,255,1500,1413,1612,1503,999,1500,2000,1000
1737285452.2310128,12790,1737285452,227646144,,255,1500,1414,1612,1503,1000,1500,2000,999
1737285452.3303995,12791,1737285452,328632064,,255,1500,1413,1612,1503,1000,1500,2000,999
1737285452.4293528,12792,1737285452,427629248,,255,1500,1413,1612,1503,999,1500,2000,999
1737285452.5313153,12793,1737285452,529625152,,255,1500,1414,1613,1503,999,1500,2000,999
1737285452.6314518,12794,1737285452,629620032,,255,1500,1414,1612,1503,1000,1500,2000,1000
1737285452.7337067,12795,1737285452,730611328,,255,1500,1414,1612,1503,999,1500,2000,1000
1737285452.829239,12796,1737285452,827605184,,255,1500,1414,1612,1503,1000,1500,2000,999
1737285452.9316065,12797,1737285452,929600320,,255,1500,1414,1612,1503,1000,1500,2000,999
1737285453.0303664,12798,1737285453,28598784,,255,1500,1414,1612,1503,1000,1500,2000,999
1737285453.1273801,12799,1737285453,125593408,,255,1500,1414,1612,1503,999,1500,2000,999
1737285453.229647,12800,1737285453,227587008,,255,1500,1414,1612,1503,999,1500,2000,1000
1737285453.3302784,12801,1737285453,328583936,,255,1500,1414,1612,1503,1000,1500,2000,1000
1737285453.4329023,12802,1737285453,430578560,,255,1500,1415,1612,1503,999,1500,2000,1000
1737285453.532728,12803,1737285453,530571648,,255,1500,1416,1612,1503,1000,1500,2000,1000
1737285453.628498,12804,1737285453,626568064,,255,1500,1416,1612,1503,1000,1500,2000,1000
1737285453.7323525,12805,1737285453,730560384,,255,1500,1418,1612,1503,1000,1500,2000,999
1737285453.831424,12806,1737285453,829552448,,255,1500,1421,1612,1503,1000,1500,2000,999
1737285453.9329207,12807,1737285453,930548096,,255,1500,1422,1612,1503,999,1500,2000,999
