Time,data
1737285441.6283817,19.81
1737285441.7267916,19.83
1737285441.8284485,19.4
1737285441.9281683,19.01
1737285442.0295713,18.78
1737285442.1282594,18.76
1737285442.2285619,18.94
1737285442.3262053,18.92
1737285442.4287963,18.95
1737285442.5275652,18.9
1737285442.6285596,19.06
1737285442.7286475,19.28
1737285442.8264189,19.66
1737285442.9306343,19.54
1737285443.0264611,19.2
1737285443.1293776,18.84
1737285443.232,18.65
1737285443.3289466,18.54
1737285443.4281392,18.86
1737285443.527099,19.02
1737285443.628172,19.08
1737285443.7266066,19.13
1737285443.8276496,19.08
1737285443.9373558,19.21
1737285444.0274377,19.06
1737285444.1261117,18.84
1737285444.226381,19.0
1737285444.3283417,19.06
1737285444.429823,19.27
1737285444.5266366,19.49
1737285444.6275837,19.53
1737285444.7263799,19.6
1737285444.8281617,19.64
1737285444.926868,19.24
1737285445.0281851,18.91
1737285445.1272123,18.66
1737285445.2264776,18.69
1737285445.3274465,18.92
1737285445.4253988,19.19
1737285445.527517,19.47
1737285445.6265922,19.79
1737285445.7284777,20.2
1737285445.8264866,20.52
1737285445.9269693,20.47
1737285446.0273876,20.4
1737285446.1264513,20.45
1737285446.2335236,20.19
1737285446.326349,19.98
1737285446.4285247,19.73
1737285446.5265331,19.66
1737285446.627619,19.5
1737285446.7265465,19.19
1737285446.827734,19.2
1737285446.926637,18.98
1737285447.0276914,19.16
1737285447.1266525,19.18
1737285447.2259302,19.33
1737285447.3278155,19.73
1737285447.4266405,19.99
1737285447.5267038,20.21
1737285447.625906,20.15
1737285447.7266057,20.1
1737285447.8257728,20.42
1737285447.9282582,20.43
1737285448.026856,20.38
1737285448.1280553,20.2
1737285448.2268028,20.16
1737285448.3263996,19.76
1737285448.4260874,19.31
1737285448.527097,18.67
1737285448.6268709,18.56
1737285448.7277522,18.71
1737285448.8269095,19.33
1737285448.9300973,20.09
1737285449.0275831,20.36
1737285449.127727,20.08
1737285449.2287483,19.97
1737285449.3276482,19.97
1737285449.4273708,20.16
1737285449.5262876,20.45
1737285449.6272311,20.56
1737285449.7279713,20.57
1737285449.8343103,20.47
1737285449.9333065,20.24
1737285450.0290563,20.11
1737285450.1261914,20.19
1737285450.2254274,20.15
1737285450.3274536,19.98
1737285450.4264684,19.83
1737285450.5283937,19.43
1737285450.6274822,19.19
1737285450.7264214,19.44
1737285450.8264964,19.46
1737285450.9276793,19.55
1737285451.0271332,19.34
1737285451.1250525,19.29
1737285451.2271318,19.28
1737285451.3266037,19.42
