Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,remote_timestamp_ns,observed_offset_ns,estimated_offset_ns,round_trip_time_ms
1729403426.3441248,6466,1729403426,343563081,,691241187000,1729402735100115202,1729402735099507456,4.506315231323242
1729403426.4451153,6467,1729403426,444577989,,691341186000,1729402735100629183,1729402735099508992,5.5101118087768555
1729403426.5442555,6468,1729403426,543585637,,691441301000,1729402735100025979,1729402735099508736,4.501111030578613
1729403426.6442614,6469,1729403426,643601970,,691542180000,1729402735099147183,1729402735099505920,4.533740997314453
1729403426.7441375,6470,1729403426,743601322,,691641186000,1729402735100137692,1729402735099506176,4.540111064910889
1729403426.8441882,6471,1729403426,843631322,,691742149000,1729402735099194637,1729402735099503616,4.55818510055542
1729403426.94434,6472,1729403426,943647803,,691841190000,1729402735100163062,1729402735099503872,4.574296951293945
1729403427.045182,6473,1729403427,44650618,,691942159000,1729402735099703794,1729402735099502848,5.561723232269287
1729403427.144213,6474,1729403427,143663081,,692042171000,1729402735099186016,1729402735099500032,4.595296859741211
1729403427.244197,6475,1729403427,243693988,,692142173000,1729402735099213747,1729402735099497472,4.598555088043213
1729403427.3442614,6476,1729403427,343718285,,692241180000,1729402735100206877,1729402735099497728,4.645575046539307
1729403427.4447465,6477,1729403427,444053562,,692341261000,1729402735100293923,1729402735099498240,4.979389190673828
1729403427.5442865,6478,1729403427,543721229,,692441279000,1729402735100144118,1729402735099498496,4.579944133758545
1729403427.6444497,6479,1729403427,643749451,,692542261000,1729402735099143016,1729402735099495680,4.673871040344238
1729403427.7445045,6480,1729403427,743768210,,692642183000,1729402735099235544,1729402735099493120,4.682758808135986
1729403427.8444583,6481,1729403427,843776451,,692742167000,1729402735099252469,1729402735099490560,4.698389053344727
1729403427.9443164,6482,1729403427,943789062,,692842255000,1729402735099169562,1729402735099487744,4.713573932647705
1729403428.0443933,6483,1729403428,43789451,,692941267000,1729402735100195543,1729402735099488000,4.640647888183594
1729403428.1446195,6484,1729403428,143804710,,693042158000,1729402735099275645,1729402735099485440,4.725389003753662
1729403428.2445488,6485,1729403428,243843543,,693142150000,1729402735099305321,1729402735099483136,4.758814811706543
1729403428.3443475,6486,1729403428,343831247,,693242145000,1729402735099296728,1729402735099480832,4.7646660804748535
1729403428.4446058,6487,1729403428,443866006,,693342193000,1729402735099274238,1729402735099478272,4.781313896179199
1729403428.544262,6488,1729403428,543820543,,693442169000,1729402735099263450,1729402735099475712,4.763796806335449
1729403428.6445618,6489,1729403428,643884228,,693541443000,1729402735100031552,1729402735099475456,4.803462982177734
1729403428.7446492,6490,1729403428,743920765,,693641186000,1729402735100306552,1729402735099476224,4.838611125946045
1729403428.8444314,6491,1729403428,843911876,,693741183000,1729402735100304644,1729402735099476992,4.832740783691406
1729403428.9445703,6492,1729403428,943921154,,693842174000,1729402735099317950,1729402735099474688,4.840480804443359
1729403429.044549,6493,1729403429,43937876,,693942174000,1729402735099375524,1729402735099472640,4.760128974914551
