Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,connected,armed,guided,manual_input,mode,system_status
1729403530.0857508,749,1729403530,85231872,,True,False,False,True,STABILIZE,3
1729403531.0859895,750,1729403531,85363334,,True,False,False,True,STABILIZE,3
1729403532.0860212,751,1729403532,85519500,,True,False,False,True,STABILIZE,3
1729403533.0860813,752,1729403533,85616999,,True,False,False,True,STABILIZE,3
1729403534.0864325,753,1729403534,85769980,,True,False,False,True,STABILIZE,3
1729403535.085758,754,1729403535,84902054,,True,False,False,True,STABILIZE,3
1729403536.0856194,755,1729403536,85040109,,True,False,False,True,STABILIZE,3
1729403537.085647,756,1729403537,85197201,,True,False,False,True,STABILIZE,3
1729403538.0859551,757,1729403538,85346237,,True,False,False,True,STABILIZE,3
1729403539.0862052,758,1729403539,85476403,,True,False,False,True,STABILIZE,3
1729403540.0862896,759,1729403540,85609180,,True,False,False,True,STABILIZE,3
1729403541.085431,760,1729403541,84750124,,True,False,False,True,STABILIZE,3
1729403542.0855763,761,1729403542,84892235,,True,False,False,True,STABILIZE,3
1729403543.0856023,762,1729403543,85040938,,True,False,False,True,STABILIZE,3
1729403544.0856538,763,1729403544,85188067,,True,False,False,True,STABILIZE,3
1729403545.085836,764,1729403545,85304751,,True,False,False,True,STABILIZE,3
1729403546.0860162,765,1729403546,85459603,,True,False,False,True,STABILIZE,3
1729403547.0852737,766,1729403547,84596398,,True,False,False,True,STABILIZE,3
