Time,data
1729690901.7682092,3.993
1729690901.868287,3.991
1729690901.9682908,3.99
1729690902.067501,3.984
1729690902.168855,3.977
1729690902.270746,3.966
1729690902.3683214,3.962
1729690902.468531,3.964
1729690902.5668738,3.966
1729690902.6686816,3.965
1729690902.770371,3.963
1729690902.8675785,3.962
1729690902.9675357,3.961
1729690903.0675294,3.961
1729690903.167422,3.962
1729690903.2674255,3.964
1729690903.3676324,3.97
1729690903.4666286,3.975
1729690903.5679958,3.981
1729690903.6677222,3.982
1729690903.766781,3.978
1729690903.866837,3.974
1729690903.9680176,3.972
1729690904.0680895,3.976
1729690904.1689224,3.977
1729690904.2656276,3.976
1729690904.366778,3.975
1729690904.4670036,3.968
1729690904.567723,3.963
1729690904.6678147,3.962
1729690904.7740815,3.965
1729690904.8728542,3.971
1729690904.9729464,3.98
1729690905.0699837,3.985
1729690905.1658976,3.99
1729690905.2662365,3.995
1729690905.3660634,3.992
1729690905.4662223,3.988
1729690905.5660877,3.988
1729690905.669115,3.987
1729690905.7729704,3.985
1729690905.8679729,3.988
1729690905.9683406,3.991
1729690906.06801,3.993
1729690906.1682062,3.993
1729690906.2679694,3.998
1729690906.3671856,4.005
1729690906.4670823,4.013
1729690906.5673234,4.025
1729690906.6671257,4.037
1729690906.770369,4.052
1729690906.867216,4.069
1729690906.968189,4.086
1729690907.0673892,4.096
1729690907.1672432,4.099
1729690907.2668452,4.096
1729690907.3671775,4.091
1729690907.4670315,4.085
1729690907.5745206,4.08
1729690907.6689138,4.073
1729690907.7669644,4.066
1729690907.8691268,4.059
1729690907.9690566,4.054
1729690908.0694134,4.052
1729690908.1683316,4.051
1729690908.2680504,4.051
1729690908.3681362,4.051
1729690908.4682543,4.05
1729690908.5702765,4.047
1729690908.6681032,4.048
1729690908.7681203,4.054
1729690908.8680155,4.06
1729690908.9668899,4.07
1729690909.0757954,4.079
1729690909.1749187,4.081
1729690909.2759905,4.081
1729690909.3733737,4.082
1729690909.472114,4.08
1729690909.5684214,4.078
1729690909.6679192,4.074
1729690909.7691014,4.075
1729690909.8679323,4.073
1729690909.9679985,4.075
1729690910.0667136,4.071
1729690910.1675663,4.064
1729690910.2665057,4.051
1729690910.3666396,4.04
1729690910.468729,4.027
1729690910.5669076,4.013
1729690910.6656818,4.002
1729690910.7666116,3.999
1729690910.8665528,4.002
1729690910.9740715,4.006
1729690911.0655167,4.009
1729690911.1666157,4.012
1729690911.2655363,4.011
1729690911.365573,4.012
1729690911.4656954,4.02
1729690911.567598,4.025
1729690911.6676254,4.033
1729690911.7676072,4.045
1729690911.8670816,4.058
1729690911.9676087,4.069
1729690912.0667472,4.074
1729690912.1681256,4.079
1729690912.266809,4.087
1729690912.3669074,4.098
1729690912.4674032,4.106
1729690912.570406,4.109
1729690912.6671429,4.107
1729690912.7692072,4.101
1729690912.866133,4.096
1729690912.9664483,4.09
1729690913.065998,4.082
1729690913.1670773,4.082
1729690913.2660406,4.088
1729690913.373084,4.092
1729690913.4661357,4.101
1729690913.566185,4.113
1729690913.6660187,4.124
1729690913.7661138,4.132
1729690913.8667762,4.126
1729690913.9670792,4.111
1729690914.0672479,4.089
1729690914.1670942,4.062
1729690914.2667942,4.037
1729690914.366769,4.01
1729690914.4696097,3.987
1729690914.5665555,3.965
1729690914.666844,3.945
1729690914.7696965,3.922
1729690914.86609,3.905
1729690914.9712903,3.903
1729690915.066954,3.908
1729690915.16638,3.913
1729690915.2693307,3.909
1729690915.367577,3.894
1729690915.467735,3.875
1729690915.5676093,3.86
1729690915.6679904,3.848
1729690915.767091,3.839
1729690915.866876,3.842
1729690915.9667387,3.856
1729690916.0673041,3.88
1729690916.166919,3.904
1729690916.2658265,3.926
1729690916.368943,3.948
1729690916.467956,3.971
1729690916.5679476,3.984
1729690916.6670628,3.982
1729690916.7668893,3.986
1729690916.867004,3.994
1729690916.973011,4.008
1729690917.0721366,4.019
1729690917.170628,4.033
1729690917.2675831,4.04
1729690917.3667006,4.041
1729690917.4668984,4.042
1729690917.5666926,4.041
1729690917.668941,4.042
1729690917.7659886,4.044
1729690917.8660252,4.048
1729690917.9671662,4.05
1729690918.0803185,4.045
1729690918.1711147,4.04
1729690918.26605,4.038
1729690918.3661075,4.034
1729690918.4651678,4.043
1729690918.5662594,4.06
1729690918.66922,4.083
1729690918.766757,4.113
1729690918.866421,4.149
1729690918.9672298,4.187
1729690919.0680883,4.217
1729690919.1654484,4.232
1729690919.2663352,4.248
1729690919.3681848,4.251
1729690919.467349,4.246
1729690919.5703654,4.234
1729690919.6674514,4.219
1729690919.7672167,4.198
1729690919.866484,4.174
1729690919.9674342,4.144
1729690920.0664356,4.116
1729690920.1663857,4.089
1729690920.2663784,4.064
1729690920.365271,4.038
1729690920.4663804,4.016
1729690920.5695999,4.0
1729690920.6685748,3.991
1729690920.768602,3.989
1729690920.868551,3.985
1729690920.9686053,3.992
1729690921.066684,4.004
1729690921.1667094,4.011
1729690921.266626,4.019
1729690921.3668478,4.02
1729690921.4677033,4.016
1729690921.566808,4.018
1729690921.6666148,4.02
1729690921.7666945,4.022
1729690921.8667,4.029
1729690921.972029,4.029
1729690922.066612,4.03
1729690922.1669328,4.027
1729690922.2668645,4.02
1729690922.3668299,4.01
1729690922.4657297,3.999
1729690922.5689538,3.992
1729690922.6657815,3.986
1729690922.7659166,3.981
1729690922.8667526,3.978
1729690922.9669735,3.977
1729690923.0660331,3.98
1729690923.168842,3.983
1729690923.2648828,3.992
1729690923.3679798,4.002
1729690923.4659512,4.008
1729690923.5660374,4.012
1729690923.6680248,4.014
1729690923.765973,4.027
1729690923.8679326,4.045
1729690923.969845,4.055
1729690924.0670266,4.06
1729690924.1689537,4.058
1729690924.2660327,4.056
1729690924.366077,4.052
1729690924.4659932,4.054
1729690924.566046,4.055
1729690924.6682649,4.06
1729690924.7731144,4.06
1729690924.8701322,4.064
1729690924.9702232,4.066
1729690925.0693495,4.061
1729690925.1660433,4.059
1729690925.2649248,4.065
1729690925.3697376,4.07
1729690925.4652178,4.066
1729690925.5697968,4.059
1729690925.666337,4.056
1729690925.7663305,4.059
1729690925.8660655,4.063
1729690925.9672089,4.07
1729690926.0651782,4.07
1729690926.166177,4.065
1729690926.2659104,4.06
1729690926.369005,4.057
1729690926.4655707,4.058
1729690926.5682542,4.062
1729690926.6667006,4.065
1729690926.7671418,4.072
1729690926.8683345,4.09
1729690926.9682379,4.104
1729690927.0680854,4.115
1729690927.1669838,4.123
1729690927.2670197,4.128
1729690927.3688684,4.126
1729690927.4662657,4.118
1729690927.5660288,4.103
1729690927.6661382,4.093
